City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,66.99,38,100,5.99,overcast clouds
1,Nuuk,GL,64.1835,-51.7216,33.76,71,100,15.57,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,64.38,89,4,3.18,clear sky
3,Hilo,US,19.7297,-155.09,76.73,70,75,5.75,light rain
4,Chuy,UY,-33.6971,-53.4616,73.67,68,100,4.43,overcast clouds
5,Ust-Maya,RU,60.4167,134.5333,-16.91,97,99,1.61,overcast clouds
6,Alta Floresta,BR,-9.8756,-56.0861,71.69,94,92,0.47,light rain
7,Jamestown,US,42.097,-79.2353,29.79,67,0,8.05,clear sky
8,Zyryanka,RU,65.75,150.85,-41.89,95,89,5.93,overcast clouds
9,Port Elizabeth,ZA,-33.918,25.5701,68.31,89,20,42.01,few clouds
10,Andros Town,BS,24.7,-77.7667,76.96,70,0,8.68,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,93,1.01,overcast clouds
12,Butaritari,KI,3.0707,172.7902,82.08,76,13,17.0,few clouds
13,Sambava,MG,-14.2667,50.1667,73.76,85,7,9.33,clear sky
14,Nuevo Laredo,MX,27.4763,-99.5164,75.47,73,100,5.75,overcast clouds
15,Atuona,PF,-9.8,-139.0333,77.4,69,69,5.46,broken clouds
16,Botwood,CA,49.1499,-55.3482,32.9,97,100,2.82,overcast clouds
17,Khatanga,RU,71.9667,102.5,-15.14,98,100,2.37,overcast clouds
18,Bilibino,RU,68.0546,166.4372,-19.46,100,97,4.72,overcast clouds
19,Maceio,BR,-9.6658,-35.7353,76.44,94,0,6.91,clear sky
20,Rikitea,PF,-23.1203,-134.9692,76.68,77,15,13.53,few clouds
21,Tasiilaq,GL,65.6145,-37.6368,13.37,59,33,5.1,scattered clouds
22,Vila Velha,BR,-20.3297,-40.2925,78.75,94,20,2.3,few clouds
23,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,23,10.36,few clouds
24,Qaanaaq,GL,77.484,-69.3632,7.05,86,100,1.01,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,17.27,scattered clouds
26,Klyuchi,RU,52.2667,79.1667,-6.25,91,14,11.01,few clouds
27,Kahului,US,20.8947,-156.47,78.96,69,13,13.0,few clouds
28,Albany,US,42.6001,-73.9662,28.36,62,0,1.99,clear sky
29,Kathmandu,NP,27.7167,85.3167,46.62,87,20,2.3,mist
30,Beringovskiy,RU,63.05,179.3167,21.34,95,100,12.15,snow
31,Port Alfred,ZA,-33.5906,26.891,68.18,87,100,5.99,overcast clouds
32,Mahebourg,MU,-20.4081,57.7,77.29,83,40,8.05,scattered clouds
33,Kodiak,US,57.79,-152.4072,28.63,52,0,22.32,clear sky
34,Haines Junction,CA,60.7522,-137.5108,10.35,61,100,1.14,overcast clouds
35,Berlevag,NO,70.8578,29.0864,19.2,86,75,1.14,broken clouds
36,Ushuaia,AR,-54.8,-68.3,44.26,65,40,21.85,scattered clouds
37,Chumikan,RU,54.7183,135.315,-2.31,84,93,13.85,overcast clouds
38,Oneonta,US,42.4529,-75.0638,29.3,88,3,4.03,clear sky
39,Boone,US,39.0334,-92.3335,39.45,85,100,3.56,overcast clouds
40,Mayumba,GA,-3.432,10.6554,76.64,89,100,5.73,light rain
41,Sao Filipe,CV,14.8961,-24.4956,75.31,78,1,5.7,clear sky
42,Hasaki,JP,35.7333,140.8333,57.29,62,54,5.55,broken clouds
43,Sabang,ID,5.8933,95.3214,79.88,78,100,9.15,overcast clouds
44,Dikson,RU,73.5069,80.5464,-1.25,99,100,12.08,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,79.41,75,100,3.67,overcast clouds
46,Maralal,KE,1.0968,36.698,57.36,77,31,2.44,scattered clouds
47,Amuntai,ID,-2.4177,115.2494,88.34,56,91,1.34,overcast clouds
48,Faanui,PF,-16.4833,-151.75,80.24,73,14,7.76,few clouds
49,Mount Gambier,AU,-37.8333,140.7667,76.78,28,0,4.43,clear sky
50,Uyemskiy,RU,64.4743,40.8524,19.45,93,100,8.95,overcast clouds
51,Hermanus,ZA,-34.4187,19.2345,67.8,83,0,1.21,clear sky
52,Castro,BR,-24.7911,-50.0119,65.28,92,97,4.52,overcast clouds
53,Sombrio,BR,-29.1139,-49.6167,70.93,96,13,4.72,few clouds
54,Dire,ML,12.2833,-10.9667,74.07,26,0,1.7,clear sky
55,Killybegs,IE,54.6333,-8.45,41.09,71,100,6.67,overcast clouds
56,Praya,CV,14.9215,-23.5087,75.74,53,20,10.36,few clouds
57,Kapaa,US,22.0752,-159.319,79.12,72,75,16.11,broken clouds
58,Thompson,CA,55.7435,-97.8558,10.56,92,75,3.44,broken clouds
59,Grindavik,IS,63.8424,-22.4338,30.67,74,0,10.36,clear sky
60,Nchelenge,ZM,-9.3451,28.734,67.01,93,100,5.55,overcast clouds
61,Turlock,US,37.4947,-120.8466,55.24,41,0,0.0,clear sky
62,Tura,IN,25.5198,90.2201,63.37,67,5,2.21,clear sky
63,Mandalgovi,MN,45.7625,106.2708,4.93,55,0,9.17,clear sky
64,Pangnirtung,CA,66.1451,-65.7125,8.29,97,100,3.85,light snow
65,Sorland,NO,67.667,12.6934,33.66,55,18,16.28,few clouds
66,Cidreira,BR,-30.1811,-50.2056,71.69,93,11,15.37,few clouds
67,Togul,RU,53.465,85.9128,1.11,97,100,7.18,overcast clouds
68,Hithadhoo,MV,-0.6,73.0833,82.11,77,100,15.35,overcast clouds
69,Rampura,IN,30.25,75.2333,57.18,46,75,5.48,broken clouds
70,Ambilobe,MG,-13.2,49.05,73.35,91,23,1.81,few clouds
71,Bambous Virieux,MU,-20.3428,57.7575,77.22,84,15,10.31,moderate rain
72,Vaini,TO,-21.2,-175.2,77.16,100,75,4.61,moderate rain
73,Bluff,NZ,-46.6,168.3333,63.81,81,68,10.16,light rain
74,Barrow,US,71.2906,-156.7887,3.22,85,100,9.22,overcast clouds
75,Awbari,LY,26.5921,12.7805,66.79,24,0,7.74,clear sky
76,Namibe,AO,-15.1961,12.1522,67.15,77,2,5.46,clear sky
77,Tuatapere,NZ,-46.1333,167.6833,57.76,94,100,6.73,light rain
78,Cururupu,BR,-1.8283,-44.8683,75.94,88,7,4.0,clear sky
79,Ahipara,NZ,-35.1667,173.1667,68.76,89,74,9.4,broken clouds
80,Taree,AU,-31.9,152.4667,70.07,61,100,4.54,overcast clouds
81,Promyshlennovskiy,RU,55.4833,86.2,0.37,88,100,12.44,overcast clouds
82,Shenjiamen,CN,29.9576,122.298,54.97,90,100,16.08,overcast clouds
83,Puerto El Triunfo,SV,13.2833,-88.55,75.97,73,10,4.21,clear sky
84,Luba,GQ,3.4568,8.5547,80.49,78,4,4.65,clear sky
85,Seymchan,RU,62.8833,152.4333,-39.87,97,100,1.16,overcast clouds
86,East London,ZA,-33.0153,27.9116,71.56,85,89,8.61,overcast clouds
